Date,Ticker,Sector,Open,High,Low,Close,Volume
2022-01-03,AAPL,Technology,185.08,183.89,182.73,183.68,431562677
2022-01-04,AAPL,Technology,182.53,185.27,181.84,182.96,636363196
2022-01-05,AAPL,Technology,179.76,182.17,181.14,181.49,204799310
2022-01-06,AAPL,Technology,178.89,181.17,179.26,179.71,239448315
2022-01-07,AAPL,Technology,183.19,184.84,184.4,184.5,369554445
2022-01-10,AAPL,Technology,184.37,186.63,184.37,184.93,419323444
2022-01-11,AAPL,Technology,182.01,185.69,182.96,182.98,731986373
2022-01-12,AAPL,Technology,177.83,179.31,176.21,179.01,535349636
2022-01-13,AAPL,Technology,181.17,181.7,181.28,181.45,231650193
2022-01-14,AAPL,Technology,179.46,179.81,177.64,179.15,200932567
2022-01-17,AAPL,Technology,180.8,180.8,179.27,180.25,812397053
2022-01-18,AAPL,Technology,183.63,184.56,182.87,183.33,790180978
2022-01-19,AAPL,Technology,180.71,182.07,180.19,181.8,728328624
2022-01-20,AAPL,Technology,186.63,186.4,184.8,186.29,351401542
2022-01-21,AAPL,Technology,189.03,189.87,187.51,187.56,130923985
2022-01-24,AAPL,Technology,190.48,190.52,189.94,190.39,179595120
2022-01-25,AAPL,Technology,189.2,190.24,187.45,189.69,323837757
2022-01-26,AAPL,Technology,187.54,189.42,187.54,188.04,627110749
2022-01-27,AAPL,Technology,188.11,189.88,187.37,188.42,398790160
2022-01-28,AAPL,Technology,183.52,183.95,183.13,183.52,431469090
2022-01-31,AAPL,Technology,178.18,179.5,178.41,178.9,447576103
2022-02-01,AAPL,Technology,180.48,182.97,180.0,180.25,467437889
2022-02-02,AAPL,Technology,176.22,174.12,174.0,174.08,440675580
2022-02-03,AAPL,Technology,176.08,175.13,173.44,175.08,706593798
2022-02-04,AAPL,Technology,176.38,178.91,175.63,177.62,650614947
2022-02-07,AAPL,Technology,184.77,186.14,183.84,184.68,377190971
2022-02-08,AAPL,Technology,180.0,179.68,178.05,179.58,306365037
2022-02-09,AAPL,Technology,185.39,185.8,184.17,184.64,262186814
2022-02-10,AAPL,Technology,185.63,187.39,183.07,185.45,552487516
2022-02-11,AAPL,Technology,188.61,189.98,186.13,188.12,562832335
2022-02-14,AAPL,Technology,189.24,189.55,188.0,189.02,561732455
2022-02-15,AAPL,Technology,185.54,189.44,185.94,186.65,673687427
2022-02-16,AAPL,Technology,182.68,184.59,181.73,183.43,785387719
2022-02-17,AAPL,Technology,184.62,186.07,182.04,184.85,332826508
2022-02-18,AAPL,Technology,182.26,183.13,181.83,181.95,557150188
2022-02-21,AAPL,Technology,184.46,184.73,182.56,184.71,1890457278
2022-02-22,AAPL,Technology,187.3,188.13,185.24,186.84,433875683
2022-02-23,AAPL,Technology,188.5,190.02,189.19,189.3,227480797
2022-02-24,AAPL,Technology,186.67,189.12,187.52,187.84,529048391
2022-02-25,AAPL,Technology,189.25,190.53,188.96,189.2,273966077
2022-02-28,AAPL,Technology,191.48,191.33,188.82,190.47,243630993
2022-03-01,AAPL,Technology,187.8,188.09,186.54,187.31,3330424949
2022-03-02,AAPL,Technology,189.91,191.01,187.85,189.29,414409584
2022-03-03,AAPL,Technology,191.47,193.12,191.57,191.94,505438571
2022-03-04,AAPL,Technology,198.38,202.98,198.89,199.99,383187148
2022-03-07,AAPL,Technology,203.24,204.08,202.21,203.97,681494592
2022-03-08,AAPL,Technology,200.7,201.7,201.28,201.35,1417232757
2022-03-09,AAPL,Technology,203.04,207.01,203.41,203.71,743007478
2022-03-10,AAPL,Technology,201.73,201.05,200.05,200.86,266224846
2022-03-11,AAPL,Technology,201.48,200.47,198.67,199.72,594059984
2022-03-14,AAPL,Technology,196.25,196.68,191.93,195.24,226966960
2022-03-15,AAPL,Technology,194.03,195.56,192.5,193.6,714659688
2022-03-16,AAPL,Technology,189.45,190.52,185.49,190.43,427607349
2022-03-17,AAPL,Technology,185.8,188.64,184.08,186.21,517940168
2022-03-18,AAPL,Technology,191.1,193.29,189.32,191.09,297000884
2022-03-21,AAPL,Technology,192.81,193.05,191.82,192.74,400147265
2022-03-22,AAPL,Technology,192.0,194.22,190.74,193.19,1409522296
2022-03-23,AAPL,Technology,186.72,186.69,185.58,186.46,355362957
2022-03-24,AAPL,Technology,186.61,186.55,184.94,185.82,579982067
2022-03-25,AAPL,Technology,184.3,184.88,183.11,183.56,664678764
2022-03-28,AAPL,Technology,181.43,181.68,179.79,180.87,480121235
2022-03-29,AAPL,Technology,181.81,183.16,180.45,181.31,438514604
2022-03-30,AAPL,Technology,181.39,182.24,179.46,180.65,931903105
2022-03-31,AAPL,Technology,181.07,181.76,180.33,180.78,454600001
2022-04-01,AAPL,Technology,183.04,182.01,179.96,181.15,293383536
2022-04-04,AAPL,Technology,177.8,178.88,176.12,177.24,664252399
2022-04-05,AAPL,Technology,176.66,178.53,177.15,177.26,790012927
2022-04-06,AAPL,Technology,177.21,178.01,176.39,176.84,365997742
2022-04-07,AAPL,Technology,173.83,174.62,173.93,174.28,383358387
2022-04-08,AAPL,Technology,174.43,177.08,173.08,175.06,436053902
2022-04-11,AAPL,Technology,175.95,178.17,174.88,176.09,480574055
2022-04-12,AAPL,Technology,173.24,172.99,172.56,172.96,320817995
2022-04-13,AAPL,Technology,174.98,176.77,174.48,174.63,685097687
2022-04-14,AAPL,Technology,173.51,173.73,173.41,173.42,329634528
2022-04-15,AAPL,Technology,174.38,174.24,171.54,173.55,1423794359
2022-04-18,AAPL,Technology,173.08,172.4,170.96,171.21,323869384
2022-04-19,AAPL,Technology,168.23,169.48,165.8,168.67,331929670
2022-04-20,AAPL,Technology,169.98,169.64,166.64,169.18,363593910
2022-04-21,AAPL,Technology,168.02,167.15,164.73,166.49,874987414
2022-04-22,AAPL,Technology,165.04,167.4,163.35,165.14,900903003
2022-04-25,AAPL,Technology,160.48,161.22,160.44,160.45,387399595
2022-04-26,AAPL,Technology,162.39,163.68,162.11,162.29,627478155
2022-04-27,AAPL,Technology,165.47,165.9,162.4,164.42,572862915
2022-04-28,AAPL,Technology,163.21,164.27,162.11,162.26,501823609
